PASS  SETUP: a real Super Admin exists
PASS  the Admin console renders its menu at 1440px
PASS  the menu offers its entries  [15 visible]
PASS  and the overview itself renders content  [20 controls]
PASS  Admin Control Panel: the entry for the current section stays put without breaking  [/admin, 1069 chars]
PASS  Admin Control Panel: the destination loads without an error  [/admin]
PASS  Admin Control Panel: renders its OWN content, not another section's  [20 controls]
PASS  Admin Control Panel: the menu shows where you are  [nav-admin.title]
PASS  Admin Control Panel: browser Back returns to the overview  [blank]
PASS  Admin Control Panel: the URL works typed directly  [/admin]
PASS  Admin Control Panel: and a refresh keeps the same section  [same content]
PASS  User Management: clicking changes the URL  [/admin -> /admin/users]
PASS  User Management: the destination loads without an error  [/admin/users]
PASS  User Management: renders its OWN content, not another section's  [23 controls]
PASS  User Management: the menu shows where you are  [nav-admin.users]
PASS  User Management: browser Back returns to the overview  [/admin]
PASS  User Management: the URL works typed directly  [/admin/users]
PASS  User Management: and a refresh keeps the same section  [same content]
PASS  Professional Registrations: clicking changes the URL  [/admin -> /admin/registrations]
PASS  Professional Registrations: the destination loads without an error  [/admin/registrations]
PASS  Professional Registrations: renders its OWN content, not another section's  [7 controls]
PASS  Professional Registrations: the menu shows where you are  [nav-admin.registrations]
PASS  Professional Registrations: browser Back returns to the overview  [/admin]
PASS  Professional Registrations: the URL works typed directly  [/admin/registrations]
PASS  Professional Registrations: and a refresh keeps the same section  [same content]
PASS  Product categories: clicking changes the URL  [/admin -> /admin/categories]
PASS  Product categories: the destination loads without an error  [/admin/categories]
PASS  Product categories: renders its OWN content, not another section's  [457 controls]
PASS  Product categories: the menu shows where you are  [nav-admin.categories]
PASS  Product categories: browser Back returns to the overview  [/admin]
PASS  Product categories: the URL works typed directly  [/admin/categories]
PASS  Product categories: and a refresh keeps the same section  [same content]
PASS  Placements: clicking changes the URL  [/admin -> /admin/placements]
PASS  Placements: the destination loads without an error  [/admin/placements]
PASS  Placements: renders its OWN content, not another section's  [29 controls]
PASS  Placements: the menu shows where you are  [nav-admin.placements]
PASS  Placements: browser Back returns to the overview  [/admin]
PASS  Placements: the URL works typed directly  [/admin/placements]
PASS  Placements: and a refresh keeps the same section  [same content]
PASS  Vendor Enquiries: clicking changes the URL  [/admin -> /admin/enquiries]
PASS  Vendor Enquiries: the destination loads without an error  [/admin/enquiries]
PASS  Vendor Enquiries: renders its OWN content, not another section's  [6 controls]
PASS  Vendor Enquiries: the menu shows where you are  [nav-admin.enquiries]
PASS  Vendor Enquiries: browser Back returns to the overview  [/admin]
PASS  Vendor Enquiries: the URL works typed directly  [/admin/enquiries]
PASS  Vendor Enquiries: and a refresh keeps the same section  [same content]
PASS  Referrals: clicking changes the URL  [/admin -> /admin/referrals]
PASS  Referrals: the destination loads without an error  [/admin/referrals]
PASS  Referrals: renders its OWN content, not another section's  [12 controls]
PASS  Referrals: the menu shows where you are  [nav-admin.referrals]
PASS  Referrals: browser Back returns to the overview  [/admin]
PASS  Referrals: the URL works typed directly  [/admin/referrals]
PASS  Referrals: and a refresh keeps the same section  [same content]
PASS  Disputes: clicking changes the URL  [/admin -> /admin/disputes]
PASS  Disputes: the destination loads without an error  [/admin/disputes]
PASS  Disputes: renders its OWN content, not another section's  [20 controls]
PASS  Disputes: the menu shows where you are  [nav-admin.disputes]
PASS  Disputes: browser Back returns to the overview  [/admin]
PASS  Disputes: the URL works typed directly  [/admin/disputes]
PASS  Disputes: and a refresh keeps the same section  [same content]
PASS  Support tickets: clicking changes the URL  [/admin -> /admin/support]
PASS  Support tickets: the destination loads without an error  [/admin/support]
PASS  Support tickets: renders its OWN content, not another section's  [12 controls]
PASS  Support tickets: the menu shows where you are  [nav-admin.support]
PASS  Support tickets: browser Back returns to the overview  [/admin]
PASS  Support tickets: the URL works typed directly  [/admin/support]
PASS  Support tickets: and a refresh keeps the same section  [same content]
PASS  Reported reviews: clicking changes the URL  [/admin -> /admin/reviews]
PASS  Reported reviews: the destination loads without an error  [/admin/reviews]
PASS  Reported reviews: renders its OWN content, not another section's  [5 controls]
PASS  Reported reviews: the menu shows where you are  [nav-admin.reviews]
PASS  Reported reviews: browser Back returns to the overview  [/admin]
PASS  Reported reviews: the URL works typed directly  [/admin/reviews]
PASS  Reported reviews: and a refresh keeps the same section  [same content]
