BUILD  9e5faee (development) built 2026-09-22T09:56:39.195Z  http://127.0.0.1:5401
PASS  1. LISTING: the supplier can list a product  [product 82]
PASS  2. DISCOVERY: the published product is in the public marketplace  [1 products in Materials]
PASS  3. DISCOVERY: while a DRAFT is not - unfinished work is not for sale  [draft correctly absent]
PASS  4. STOREFRONT: the supplier has a public page that identifies them and lists their catalogue  [company true, categories true, catalogue true, product true]
PASS  5. STOREFRONT: and it leaks NO internal compliance paperwork or admin notes  [clean]
PASS  6. STOREFRONT: an approved supplier shows their verified standing  [shown]
PASS  7. STOREFRONT: a buyer can start a conversation from the page  [a contact route exists]
PASS  8. STOREFRONT: and can ask this supplier for a price  [offered]
PASS  9. STOREFRONT: and can see what other customers said  [a reviews section is present]
PASS  10. SOURCING: the buyer can add the product to a request from its page  [clicked]
PASS  11. STOREFRONT: the ask carries WHICH supplier to the request form  [/rfq?invite=895]
PASS  12. SOURCING: and the request form carries it - the basket kept the product, not just a toast  [1 item(s), names it true]
PASS  13. SOURCING: the submitted request CONTAINS the product the buyer added  [rfq 157, 1 matching item(s)]
PASS  14. INVITATION: the supplier whose page the buyer was reading IS invited to the request  [1 invitation row(s)]
PASS  15. INVITATION: and is told about it rather than having to go looking  [1 notification(s)]
PASS  16. OPPORTUNITY: the supplier sees the request in their feed  [1 in feed]
PASS  17. ENTITLEMENT: opening a lead the buyer INVITED them to costs no credit  [opened true, used 0 -> 0]
PASS  18. ENQUIRY: taking up a lead nobody invited them to records the engagement  [opened true, 1 qualified enquiry]
PASS  19. ENTITLEMENT: and THAT moves the allowance - one lead found, one credit  [used 0 -> 1]
PASS  20. ENTITLEMENT: opening the same lead again does not charge a second credit  [used stayed at 1 (retry accepted)]
PASS  21. QUOTATION: the supplier can price the work  [quotation 54]
PASS  22. QUOTATION: a price with no expiry is refused - nobody stands behind a bid that holds forever  [BAD_REQUEST]
PASS  23. REVISION: a revised price becomes the current one  [current 58000.00, revision 2]
PASS  24. REVISION: and the price it replaced is still on the record - history is not overwritten  [2 quotation rows for this supplier on this request]
PASS  25. PRIVACY: a rival supplier cannot read the price on the board  [FORBIDDEN]

BUILD 9e5faee · development · 1440x900 · en
25/25 checks passed
